# resistance (ohms),time (s),res min,res_max
8.154569672431262210e+06,0.000000000000000000e+00,8.080000000000000000e+06,8.160000000000000000e+06
8.188329884163136594e+06,4.034653282165527344e+01,8.080000000000000000e+06,8.160000000000000000e+06
8.725811766195224598e+06,7.040082979202270508e+01,8.080000000000000000e+06,8.160000000000000000e+06
1.004335541779477894e+07,1.004487130641937256e+02,8.080000000000000000e+06,8.160000000000000000e+06
1.077716693071031012e+07,1.304958019256591797e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.875055855784686282e+06,1.605547568798065186e+02,8.080000000000000000e+06,8.160000000000000000e+06
1.010919420851340145e+07,1.906042196750640869e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.767425392131606117e+06,2.206530544757843018e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.279558293025251478e+06,2.506960675716400146e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.161981748379511759e+06,2.807420752048492432e+02,8.080000000000000000e+06,8.160000000000000000e+06
1.000376206478089280e+07,3.107888319492340088e+02,8.080000000000000000e+06,8.160000000000000000e+06
