# resistance (ohms),time (s),res min,res_max
1.176575033493120223e+07,0.000000000000000000e+00,1.220000000000000000e+07,1.250000000000000000e+07
1.557421188666991889e+07,6.095995528697967529e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.522510419319086149e+07,1.209649113178253174e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.448918266962480731e+07,1.809698673725128174e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.403762700288598798e+07,2.409744640827178955e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.579127247636950389e+07,3.009794201374053955e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.659750348651307821e+07,3.609843761205673218e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.618657160401074030e+07,4.209893321514129639e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.513161615919816121e+07,4.809942881107330322e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.455273451120450161e+07,5.409992443799972534e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.635126025825949013e+07,6.010035283327102661e+03,1.220000000000000000e+07,1.250000000000000000e+07
