# resistance (ohms),current (A),time (s),res min,res_max
2.610753523018031195e+07,-3.830311789999999682e-09,1.000000000000000000e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.610066633931036666e+07,-3.831319810000000560e-09,1.004999999999999893e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.609902917235819995e+07,-3.831560144999999665e-09,1.010000000000000009e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.613710306540479511e+07,-3.825978715000000227e-09,1.014999999999999902e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.615787158065512776e+07,-3.822941009999999778e-09,1.020000000000000018e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.616805595776038989e+07,-3.821453155000000377e-09,1.024999999999999911e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.620437564018600062e+07,-3.816156560000000168e-09,1.030000000000000027e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.623954646644255891e+07,-3.811041479999999669e-09,1.034999999999999920e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.623869359769618511e+07,-3.811165354999999866e-09,1.040000000000000036e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.625153731627678126e+07,-3.809300719999999969e-09,1.044999999999999929e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.629258598978415877e+07,-3.803353540000000573e-09,1.050000000000000044e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.630701878285100684e+07,-3.801266910000000138e-09,1.054999999999999938e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.629585064493268728e+07,-3.802881350000000434e-09,1.060000000000000053e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.631301455856468901e+07,-3.800400739999999809e-09,1.064999999999999947e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.629848614250385389e+07,-3.802500244999999799e-09,1.070000000000000062e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.627455046043968946e+07,-3.805964260000000321e-09,1.074999999999999956e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.628704555783681571e+07,-3.804155160000000177e-09,1.080000000000000071e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.628904918680445850e+07,-3.803865225000000150e-09,1.084999999999999964e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.626179311917673796e+07,-3.807813104999999982e-09,1.090000000000000080e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.624475714063612372e+07,-3.810284830000000008e-09,1.094999999999999973e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.626227093940596282e+07,-3.807743824999999901e-09,1.100000000000000089e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.624649926817411184e+07,-3.810031919999999789e-09,1.104999999999999982e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.623257770074103028e+07,-3.812053895000000377e-09,1.110000000000000098e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.625940172745504975e+07,-3.808159875000000177e-09,1.114999999999999991e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.625932356649479643e+07,-3.808171209999999902e-09,1.120000000000000107e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.622384817889810726e+07,-3.813322869999999985e-09,1.125000000000000000e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.623043666817793250e+07,-3.812365050000000220e-09,1.129999999999999893e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.624869122220968455e+07,-3.809713755000000359e-09,1.135000000000000009e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.622792409890029579e+07,-3.812730264999999759e-09,1.140000000000000124e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.623564165964885429e+07,-3.811608699999999827e-09,1.145000000000000018e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.626715586915451661e+07,-3.807035695000000486e-09,1.149999999999999911e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.625734414961913973e+07,-3.808458289999999929e-09,1.155000000000000027e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.624364689695348591e+07,-3.810446025000000190e-09,1.159999999999999920e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.628784825812774152e+07,-3.804039000000000537e-09,1.165000000000000036e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.630970341615949944e+07,-3.800879030000000239e-09,1.169999999999999929e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.631546170768352225e+07,-3.800047329999999814e-09,1.175000000000000044e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.634578848706563190e+07,-3.795673075000000137e-09,1.179999999999999938e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.637178141539054364e+07,-3.791931930000000279e-09,1.185000000000000053e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.636308248485993221e+07,-3.793183140000000262e-09,1.189999999999999947e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.638245794491099939e+07,-3.790397400000000475e-09,1.195000000000000062e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.638737481064156070e+07,-3.789691119999999995e-09,1.199999999999999956e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.636669989371820912e+07,-3.792662729999999972e-09,1.205000000000000071e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.635521152973456681e+07,-3.794315970000000229e-09,1.209999999999999964e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.636193962172860280e+07,-3.793347584999999826e-09,1.215000000000000080e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.634951032886839658e+07,-3.795136940000000211e-09,1.219999999999999973e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.633170192904178426e+07,-3.797703630000000482e-09,1.225000000000000089e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.633677922830969468e+07,-3.796971495000000115e-09,1.229999999999999982e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.635039930163220316e+07,-3.795008905000000508e-09,1.235000000000000098e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.634194997614966705e+07,-3.796226175000000260e-09,1.239999999999999991e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.635104519582783803e+07,-3.794915885000000138e-09,1.245000000000000107e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.638321814044332504e+07,-3.790288184999999823e-09,1.250000000000000000e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.637350452223910764e+07,-3.791684184999999804e-09,1.254999999999999893e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.637098008344782889e+07,-3.792047155000000200e-09,1.260000000000000009e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.642524712398940325e+07,-3.784259784999999683e-09,1.265000000000000124e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.644081525129597262e+07,-3.782031645000000626e-09,1.270000000000000018e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.641278922573728114e+07,-3.786044674999999720e-09,1.274999999999999911e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.644567371164340153e+07,-3.781336830000000244e-09,1.280000000000000027e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.647052221469753608e+07,-3.777787199999999976e-09,1.285000000000000142e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.646783919988357648e+07,-3.778170149999999627e-09,1.290000000000000036e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.648494382655313611e+07,-3.775730114999999943e-09,1.294999999999999929e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.649738209971949458e+07,-3.773957729999999673e-09,1.300000000000000044e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.648430594124117121e+07,-3.775821055000000146e-09,1.304999999999999938e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.647700909689665586e+07,-3.776861639999999576e-09,1.310000000000000053e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.650716766669683903e+07,-3.772564510000000082e-09,1.314999999999999947e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.651377178466608375e+07,-3.771624829999999647e-09,1.320000000000000062e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.650992538963092491e+07,-3.772172064999999803e-09,1.324999999999999956e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.652435079297398031e+07,-3.770120550000000387e-09,1.330000000000000071e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.650761370368665084e+07,-3.772501030000000195e-09,1.334999999999999964e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.643999192718302086e+07,-3.782149415000000613e-09,1.340000000000000080e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.639541548164339364e+07,-3.788536689999999761e-09,1.344999999999999973e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.636994866410466656e+07,-3.792195475000000000e-09,1.350000000000000089e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.632675761659293249e+07,-3.798416859999999868e-09,1.354999999999999982e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.628422906606277078e+07,-3.804562794999999673e-09,1.359999999999999876e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.627374322212797776e+07,-3.806081194999999794e-09,1.364999999999999991e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.622321861362238228e+07,-3.813414420000000217e-09,1.370000000000000107e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.612465735552529246e+07,-3.827801399999999987e-09,1.375000000000000000e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.607860823767008632e+07,-3.834560460000000438e-09,1.379999999999999893e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.601496034520083293e+07,-3.843942050000000099e-09,1.385000000000000009e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.593378119140797108e+07,-3.855974540000000241e-09,1.390000000000000124e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.590477192127371207e+07,-3.860292625000000542e-09,1.395000000000000018e+00,2.375000000000000000e+07,2.625000000000000000e+07
2.588822211788060516e+07,-3.862760430000000475e-09,1.399999999999999911e+00,2.375000000000000000e+07,2.625000000000000000e+07
