# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.116536979999999858e-09,-3.213140179999999903e-09,-3.125791340000000404e-09,-3.241418800000000197e-09,-3.420511260000000453e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.366837840000000229e-09,-3.178561740000000133e-09,-3.161331399999999910e-09,-3.218847760000000263e-09,-3.131872540000000005e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.249685480000000311e-09,-3.268153800000000105e-09,-3.138901300000000401e-09,-3.050658860000000184e-09,-3.047360020000000203e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.185539100000000275e-09,-3.166244340000000326e-09,-3.115349339999999956e-09,-3.128735360000000106e-09,-3.060938979999999984e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.112629000000000336e-09,-2.984707440000000306e-09,-3.124039460000000385e-09,-3.097924880000000221e-09,-3.195655700000000392e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.031410320000000163e-09,-3.052122260000000144e-09,-3.003327460000000068e-09,-2.972864800000000299e-09,-3.074052200000000441e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.196711619999999996e-09,-3.278054780000000476e-09,-3.285487859999999974e-09,-3.321126720000000368e-09,-3.318567740000000322e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.276359139999999939e-09,-3.233181020000000197e-09,-3.255404340000000461e-09,-3.172829760000000267e-09,-3.334231260000000209e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.107279220000000296e-09,-3.044824939999999917e-09,-3.142605119999999941e-09,-3.154363440000000283e-09,-3.133349679999999960e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.115527960000000315e-09,-3.155605399999999799e-09,-3.260637540000000231e-09,-3.149763620000000087e-09,-3.076500980000000101e-09
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.937904940000000456e-09,-2.892093380000000259e-09,-2.933600260000000210e-09,-3.071382300000000109e-09,-2.961647660000000333e-09
-2.199999999999999734e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.265124960000000166e-09,-3.234712000000000110e-09,-3.462341879999999957e-09,-3.436256760000000334e-09,-3.467920440000000051e-09
-2.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.512198779999999870e-09,-3.564195880000000420e-09,-3.486261740000000632e-09,-3.464656360000000232e-09,-3.479551020000000453e-09
-2.600000000000000089e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.197759899999999894e-09,-3.247681640000000375e-09,-3.241575400000000072e-09,-3.257798440000000557e-09,-3.377089580000000164e-09
-2.800000000000000266e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.921510180000000156e-09,-3.277523140000000411e-09,-3.258583020000000354e-09,-3.250270520000000027e-09,-3.253926700000000346e-09
-3.000000000000000444e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.835302759999999805e-09,-2.849316759999999877e-09,-2.785402620000000419e-09,-2.863822439999999849e-09,-3.015991460000000346e-09
-3.200000000000000622e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.056122160000000512e-09,-2.611673980000000295e-09,-2.618018660000000258e-09,-2.520038580000000205e-09,-2.475123400000000287e-09
