# resistance (ohms),current (A),time (s),res min,res_max
4.953179672887654603e+07,-2.018905160000000370e-09,1.000000000000000000e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.954978225496837497e+07,-2.018172339999999951e-09,1.004999999999999893e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.959787358441407233e+07,-2.016215470000000182e-09,1.010000000000000009e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.963096227978872508e+07,-2.014871270000000169e-09,1.014999999999999902e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.965809187123403698e+07,-2.013770490000000493e-09,1.020000000000000018e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.971045276852051914e+07,-2.011649349999999975e-09,1.024999999999999911e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.975939937140741944e+07,-2.009670560000000167e-09,1.030000000000000027e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.978907332083822787e+07,-2.008472810000000516e-09,1.034999999999999920e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.981540155721949786e+07,-2.007411299999999793e-09,1.040000000000000036e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.984175268443568051e+07,-2.006349989999999960e-09,1.044999999999999929e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.983819158932173997e+07,-2.006493349999999999e-09,1.050000000000000044e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.985302928143598139e+07,-2.005896160000000131e-09,1.054999999999999938e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.988127906413781643e+07,-2.004760140000000223e-09,1.060000000000000053e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.989210657331147790e+07,-2.004325070000000419e-09,1.064999999999999947e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.989233757421029359e+07,-2.004315790000000439e-09,1.070000000000000062e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.991127621805648506e+07,-2.003555260000000450e-09,1.074999999999999956e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.991488638361082971e+07,-2.003410349999999917e-09,1.080000000000000071e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.990676866638663411e+07,-2.003736220000000067e-09,1.084999999999999964e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.993496370457188785e+07,-2.002604840000000149e-09,1.090000000000000080e+00,4.738000000000000000e+07,5.236000000000000000e+07
4.998413853331922740e+07,-2.000634660000000025e-09,1.094999999999999973e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.001680114367216825e+07,-1.999328180000000125e-09,1.100000000000000089e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.006336144182480872e+07,-1.997468750000000149e-09,1.104999999999999982e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.013743799847736955e+07,-1.994517550000000310e-09,1.110000000000000098e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.018832541758882999e+07,-1.992495250000000032e-09,1.114999999999999991e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.024054141297432780e+07,-1.990424410000000246e-09,1.120000000000000107e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.032742747514478117e+07,-1.986988110000000040e-09,1.125000000000000000e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.041555627244236320e+07,-1.983514760000000017e-09,1.129999999999999893e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.048293744866199791e+07,-1.980867300000000386e-09,1.135000000000000009e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.057340915184200555e+07,-1.977323690000000052e-09,1.140000000000000124e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.066015706614304334e+07,-1.973937820000000121e-09,1.145000000000000018e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.072146027571059763e+07,-1.971552070000000205e-09,1.149999999999999911e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.079072705366501212e+07,-1.968863330000000320e-09,1.155000000000000027e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.086422100878389180e+07,-1.966018509999999980e-09,1.159999999999999920e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.090500495870743692e+07,-1.964443380000000055e-09,1.165000000000000036e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.094712280658243597e+07,-1.962819380000000186e-09,1.169999999999999929e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.101109993883004040e+07,-1.960357650000000120e-09,1.175000000000000044e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.106607947620256245e+07,-1.958247060000000071e-09,1.179999999999999938e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.109988934829960763e+07,-1.956951399999999980e-09,1.185000000000000053e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.115181927481165528e+07,-1.954964680000000209e-09,1.189999999999999947e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.121096783249630034e+07,-1.952706700000000159e-09,1.195000000000000062e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.125066537457589060e+07,-1.951194180000000175e-09,1.199999999999999956e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.130461189315500855e+07,-1.949142509999999965e-09,1.205000000000000071e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.137673148447588086e+07,-1.946406420000000288e-09,1.209999999999999964e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.142541293848064542e+07,-1.944563870000000234e-09,1.215000000000000080e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.146929472865843773e+07,-1.942905969999999898e-09,1.219999999999999973e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.154605696890834719e+07,-1.940012600000000212e-09,1.225000000000000089e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.160639003326202184e+07,-1.937744530000000090e-09,1.229999999999999982e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.164259418577618152e+07,-1.936386070000000246e-09,1.235000000000000098e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.169515735843060166e+07,-1.934417170000000034e-09,1.239999999999999991e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.174691317502386868e+07,-1.932482419999999955e-09,1.245000000000000107e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.177365702382478118e+07,-1.931484189999999881e-09,1.250000000000000000e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.180653345352241397e+07,-1.930258470000000331e-09,1.254999999999999893e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.184518087482292950e+07,-1.928819580000000160e-09,1.260000000000000009e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.184808748867022246e+07,-1.928711450000000102e-09,1.265000000000000124e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.184925151587120444e+07,-1.928668149999999948e-09,1.270000000000000018e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.188300790555399656e+07,-1.927413310000000131e-09,1.274999999999999911e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.189791290259754658e+07,-1.926859759999999864e-09,1.280000000000000027e+00,4.738000000000000000e+07,5.236000000000000000e+07
5.189741678428264707e+07,-1.926878180000000029e-09,1.285000000000000142e+00,4.738000000000000000e+07,5.236000000000000000e+07
