# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
2.331083603770306706e+07,-4.289850430000000497e-09,1.300000000000000044e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.332166582265169546e+07,-4.287858370000000098e-09,1.304999999999999938e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.334584486964366585e+07,-4.283417480000000438e-09,1.310000000000000053e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.336485755351153761e+07,-4.279931935000000167e-09,1.314999999999999947e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.337623199171059951e+07,-4.277849400000000293e-09,1.320000000000000062e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.340247922284307331e+07,-4.273051545000000414e-09,1.324999999999999956e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.343571728343547136e+07,-4.266991225000000356e-09,1.330000000000000071e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.344170256616904214e+07,-4.265901750000000065e-09,1.334999999999999964e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.345215836850426346e+07,-4.263999859999999955e-09,1.340000000000000080e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.348069060242557898e+07,-4.258818520000000006e-09,1.344999999999999973e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.350063722506600246e+07,-4.255203765000000072e-09,1.350000000000000089e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.353073911985802278e+07,-4.249760260000000346e-09,1.354999999999999982e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.357457360309211910e+07,-4.241858270000000018e-09,1.359999999999999876e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.360979442074893788e+07,-4.235530315000000424e-09,1.364999999999999991e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.362274804918651655e+07,-4.233207744999999886e-09,1.370000000000000107e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.364058551181870699e+07,-4.230013675000000299e-09,1.375000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.366602511977461353e+07,-4.225466654999999563e-09,1.379999999999999893e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.367237931720120460e+07,-4.224332445000000480e-09,1.385000000000000009e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.369037408834820613e+07,-4.221123720000000440e-09,1.390000000000000124e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.372231504421443492e+07,-4.215440180000000051e-09,1.395000000000000018e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.374561923155612126e+07,-4.211303105000000209e-09,1.399999999999999911e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.376663634836089984e+07,-4.207579000000000159e-09,1.405000000000000027e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.380962451856656745e+07,-4.199982234999999934e-09,1.410000000000000142e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.383583922868025303e+07,-4.195363084999999863e-09,1.415000000000000036e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.384427081639893353e+07,-4.193879560000000519e-09,1.419999999999999929e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
2.386863126394977793e+07,-4.189599265000000022e-09,1.425000000000000044e+00,2.380000000000000000e+07,2.500000000000000000e+07,1.100000000000000000e+01,2.000000000000000111e-01
