# resistance (ohms),time (s),res min,res_max
2.103006271333993226e+07,0.000000000000000000e+00,1.780000000000000000e+07,2.000000000000000000e+07
2.366524632512388378e+07,3.953051710128784180e+01,1.780000000000000000e+07,2.000000000000000000e+07
2.618297653193368763e+07,6.957647132873535156e+01,1.780000000000000000e+07,2.000000000000000000e+07
3.150297008032981679e+07,9.962565565109252930e+01,1.780000000000000000e+07,2.000000000000000000e+07
3.006755858691603318e+07,1.296722767353057861e+02,1.780000000000000000e+07,2.000000000000000000e+07
2.874705880935880542e+07,1.597198741436004639e+02,1.780000000000000000e+07,2.000000000000000000e+07
3.123007662622531876e+07,1.897650938034057617e+02,1.780000000000000000e+07,2.000000000000000000e+07
3.146074525858765841e+07,2.198189456462860107e+02,1.780000000000000000e+07,2.000000000000000000e+07
3.247132370542782545e+07,2.498628938198089600e+02,1.780000000000000000e+07,2.000000000000000000e+07
2.989848723595833033e+07,2.799030594825744629e+02,1.780000000000000000e+07,2.000000000000000000e+07
3.375317603885255754e+07,3.099519395828247070e+02,1.780000000000000000e+07,2.000000000000000000e+07
