# resistance (ohms),time (s),res min,res_max
1.195805690017760359e+07,0.000000000000000000e+00,1.220000000000000000e+07,1.250000000000000000e+07
1.640552192806355841e+07,6.096495535373687744e+02,1.220000000000000000e+07,1.250000000000000000e+07
2.003898942085839808e+07,1.209699113130569458e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.253822780941083655e+07,1.809748673677444458e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.490429798162880167e+07,2.409798233270645142e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.153590267563777789e+07,3.009847630977630615e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.291873022616361082e+07,3.609897190570831299e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.513080376028095186e+07,4.209946751117706299e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.582481068741609901e+07,4.809996310710906982e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.630432078981984779e+07,5.410050366401672363e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.988674409359708428e+07,6.010099926710128784e+03,1.220000000000000000e+07,1.250000000000000000e+07
