# resistance (ohms),time (s),res min,res_max
2.298267166196720675e+07,0.000000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07
4.803646701843915880e+07,6.096295533180236816e+02,2.380000000000000000e+07,2.500000000000000000e+07
3.389147101322387904e+07,1.209679113388061523e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.789779398135015368e+07,1.809728673219680786e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.433429541061936319e+07,2.409778234004974365e+03,2.380000000000000000e+07,2.500000000000000000e+07
4.517351363419760764e+07,3.009827793598175049e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.949111449726355821e+07,3.609869436740875244e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.622281903502330929e+07,4.209918997049331665e+03,2.380000000000000000e+07,2.500000000000000000e+07
4.438076652613703907e+07,4.809968557119369507e+03,2.380000000000000000e+07,2.500000000000000000e+07
6.937354540368297696e+07,5.410018117427825928e+03,2.380000000000000000e+07,2.500000000000000000e+07
6.828252318685857952e+07,6.010067677497863770e+03,2.380000000000000000e+07,2.500000000000000000e+07
