# resistance (ohms),current (A),time (s),res min,res_max
6.952574804733808339e+07,-1.438316060000000080e-09,1.000000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.940448384891727567e+07,-1.440829099999999999e-09,1.004999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.930982310864771903e+07,-1.442796930000000202e-09,1.010000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.921555916488549113e+07,-1.444761860000000100e-09,1.014999999999999902e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.907900785799963772e+07,-1.447617780000000255e-09,1.020000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.896295086839389801e+07,-1.450053960000000034e-09,1.024999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.888972002039769292e+07,-1.451595390000000177e-09,1.030000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.878080898776988685e+07,-1.453893920000000124e-09,1.034999999999999920e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.867341510702645779e+07,-1.456167570000000081e-09,1.040000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.862522039161092043e+07,-1.457190220000000164e-09,1.044999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.855236960245890915e+07,-1.458738780000000015e-09,1.050000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.845656721408393979e+07,-1.460780229999999986e-09,1.054999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.840798087455143034e+07,-1.461817740000000090e-09,1.060000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.838271540979327261e+07,-1.462357839999999998e-09,1.064999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.831645672051699460e+07,-1.463776150000000102e-09,1.070000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.826009715473279357e+07,-1.464984730000000227e-09,1.074999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.822299556626255810e+07,-1.465781430000000041e-09,1.080000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
