# resistance (ohms),current (A),time (s),res min,res_max
6.263590229162530601e+07,-1.596528450000000196e-09,1.000000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.263143637514449656e+07,-1.596642290000000047e-09,1.004999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.264035040310443193e+07,-1.596415080000000163e-09,1.010000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.261031232665944099e+07,-1.597180980000000085e-09,1.014999999999999902e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.257247143641766161e+07,-1.598146880000000068e-09,1.020000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.256611909258054942e+07,-1.598309140000000134e-09,1.024999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.252753282668899000e+07,-1.599295470000000137e-09,1.030000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.246161109382172674e+07,-1.600983360000000272e-09,1.034999999999999920e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.244300046809770167e+07,-1.601460520000000217e-09,1.040000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.242198500314307213e+07,-1.601999680000000073e-09,1.044999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.236057383925660700e+07,-1.603577290000000086e-09,1.050000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.232297431807962060e+07,-1.604544730000000105e-09,1.054999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.230756813829478621e+07,-1.604941470000000181e-09,1.060000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.225541365450851619e+07,-1.606286010000000054e-09,1.064999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.220523272905926406e+07,-1.607581800000000103e-09,1.070000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.219531022855924815e+07,-1.607838270000000050e-09,1.074999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.216205134570522606e+07,-1.608698520000000063e-09,1.080000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.211411412493278831e+07,-1.609940050000000145e-09,1.084999999999999964e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.210594553879950941e+07,-1.610151800000000023e-09,1.090000000000000080e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.209658140870205313e+07,-1.610394610000000124e-09,1.094999999999999973e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.205324764358997345e+07,-1.611519200000000194e-09,1.100000000000000089e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.203545640232802182e+07,-1.611981370000000158e-09,1.104999999999999982e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.203602827952051908e+07,-1.611966510000000136e-09,1.110000000000000098e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.200797562704589218e+07,-1.612695770000000000e-09,1.114999999999999991e+00,5.850000000000000000e+07,6.220000000000000000e+07
