# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.375077380000000315e-10,-1.569736387999999956e-10,-1.588085060000000217e-10,-1.338073969999999913e-10,-1.762139828000000161e-10
2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.976015756000000126e-10,-2.048133420000000179e-10,-1.506398294000000206e-10,-1.369069536000000206e-10,-1.325591648000000145e-10
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.146855239999999856e-10,-2.474718840000000014e-10,-2.546458900000000387e-10,-2.406773800000000025e-10,-2.228746580000000152e-10
3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.683303040000000130e-10,-2.653320659999999936e-10,-2.968032700000000381e-10,-3.262924500000000234e-10,-3.328068659999999993e-10
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.886150450000000336e-10,-5.491217699999999873e-10,-5.458014100000000950e-10,-5.826767000000000833e-10,-5.492555650000000169e-10
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.183353250000000161e-10,-7.655144099999999751e-10,-6.721277000000000260e-10,-6.669173550000001170e-10,-1.212662499999999999e-09
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.586446040000001114e-10,-2.239698079999999957e-10,-2.458437580000000119e-10,-2.328066040000000253e-10,-2.227167690000000228e-10
4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.903525710000000868e-10,-9.460861000000001912e-10,-9.949166140000000882e-10,-9.034110310000000700e-10,-6.149784200000000755e-10
4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.372147309999999704e-10,-7.025377140000000485e-10,-8.018129760000001103e-10,-8.107995210000000087e-10,-7.929941790000000341e-10
5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.612969039999999885e-10,-3.226546180000000343e-10,-2.302124100000000332e-10,-1.260292730000000165e-10,-1.407213509999999912e-10
5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.098545480000000355e-10,-5.229857439999999940e-10,-5.857905949999999628e-10,-1.010852960000000033e-09,-9.195349819999999710e-10
5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.210128370000000471e-10,-4.139693470000000363e-10,-1.981195010000000253e-10,-2.124306089999999931e-10,-3.570497740000000092e-10
6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.034509280000000079e-09,-5.345732419999999929e-10,-4.986150250000000485e-10,-4.292113540000000031e-10,-5.214650180000000160e-10
6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.560603490000000378e-10,-8.102839180000000184e-10,-9.561860279999999907e-10,-7.293976940000000094e-10,-7.594528029999999946e-10
7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.103145590000000355e-10,-5.870198749999999658e-10,-6.080312320000000064e-10,-5.931284719999999948e-10,-5.401703460000000389e-10
7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.026693460000000130e-09,-3.015552045000000315e-09,-1.970484300000000133e-09,-1.912670049999999781e-09,-1.945978120000000243e-09
7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.923360705000000002e-09,-1.937720914999999841e-09,-1.552957564999999990e-09,-1.655519605000000088e-09,-1.623527519999999992e-09
8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.526467820000000218e-09,-1.214734345000000022e-09,-1.073027420000000052e-09,-1.108645870000000102e-09,-1.275766259999999914e-09
8.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.230706579999999968e-09,-1.544434455000000108e-09,-1.396318370000000176e-09,-1.446988635000000004e-09,-1.429279129999999899e-09
9.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.836928695000000126e-09,-2.609456879999999960e-09,-2.420588145000000125e-09,-2.187416625000000041e-09,-2.353991680000000096e-09
9.199999999999999289e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.084700775000000007e-09,-3.658401220000000163e-09,-3.127418370000000329e-09,-3.725732875000000209e-09,-3.852981655000000513e-09
9.399999999999998579e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.709012349999999691e-09,-5.486803850000000933e-09,-5.452164200000000842e-09,-4.896377554999999966e-09,-4.436640959999999825e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.348247649999999678e-09,-5.231408800000000270e-09,-4.974742505000000434e-09,-4.901602315000000190e-09,-4.731325450000000656e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.607592525000000194e-09,-4.982703079999999833e-09,-5.450359050000000302e-09,-5.724830149999999603e-09,-5.224691050000000415e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.136711400000000589e-09,-5.213260800000000510e-09,-5.332962150000000021e-09,-5.078609200000000677e-09,-5.021877099999999936e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.168666349999999352e-09,-5.116194800000000176e-09,-5.065264600000000165e-09,-4.878893125000000472e-09,-5.018916249999999915e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.728808840000000137e-09,-4.963220910000000280e-09,-4.678973464999999641e-09,-4.892562804999999889e-09,-4.907871920000000209e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.296869445000000185e-09,-4.293927369999999946e-09,-4.128548445000000183e-09,-4.014159995000000207e-09,-4.135815505000000442e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.319761879999999670e-09,-4.341668474999999887e-09,-4.213446460000000115e-09,-4.267304120000000091e-09,-4.275701499999999682e-09
