# resistance (ohms),current (A),time (s),res min,res_max
9.229932090128551424e+07,-1.083431590000000104e-09,1.000000000000000000e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.237421140366658568e+07,-1.082553220000000230e-09,1.004999999999999893e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.237232138396054506e+07,-1.082575370000000053e-09,1.010000000000000009e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.242500978988809884e+07,-1.081958230000000030e-09,1.014999999999999902e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.268041930401156843e+07,-1.078976560000000114e-09,1.020000000000000018e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.293066574989944696e+07,-1.076071060000000159e-09,1.024999999999999911e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.322440024874508381e+07,-1.072680539999999988e-09,1.030000000000000027e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.365082260822260380e+07,-1.067796280000000152e-09,1.034999999999999920e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.408487010384099185e+07,-1.062870150000000122e-09,1.040000000000000036e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.446866416311481595e+07,-1.058552069999999946e-09,1.044999999999999929e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.492535146301229298e+07,-1.053459360000000044e-09,1.050000000000000044e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.542248601492814720e+07,-1.047971020000000254e-09,1.054999999999999938e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.581672238664583862e+07,-1.043659160000000076e-09,1.060000000000000053e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.623642255650092661e+07,-1.039107620000000092e-09,1.064999999999999947e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.673280875647053123e+07,-1.033775419999999989e-09,1.070000000000000062e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.709768419304463267e+07,-1.029890680000000183e-09,1.074999999999999956e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.739200096316793561e+07,-1.026778370000000023e-09,1.080000000000000071e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.786096290177014470e+07,-1.021857920000000066e-09,1.084999999999999964e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.837093501662266254e+07,-1.016560430000000109e-09,1.090000000000000080e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.876338367302998900e+07,-1.012521000000000044e-09,1.094999999999999973e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.912765089890044928e+07,-1.008800259999999991e-09,1.100000000000000089e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.951539287676978111e+07,-1.004869670000000045e-09,1.104999999999999982e+00,1.100000000000000000e+08,1.230000000000000000e+08
9.981413410460114479e+07,-1.001862120000000026e-09,1.110000000000000098e+00,1.100000000000000000e+08,1.230000000000000000e+08
1.001618248497292697e+08,-9.983843660000000720e-10,1.114999999999999991e+00,1.100000000000000000e+08,1.230000000000000000e+08
