# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.726601420000000198e-09,-2.979181220000000104e-09,-2.873965540000000142e-09,-2.751993119999999967e-09,-3.152443900000000337e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.775493319999999794e-09,-2.796647699999999944e-09,-2.875516740000000380e-09,-2.911951020000000056e-09,-2.947754140000000121e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.958792620000000375e-09,-2.821120500000000443e-09,-2.897228339999999981e-09,-2.850419820000000197e-09,-3.018132340000000290e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.703517480000000134e-09,-2.602025400000000145e-09,-3.275573039999999988e-09,-2.631791780000000141e-09,-2.831144600000000026e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.545804400000000201e-09,-2.694616939999999962e-09,-2.908802179999999915e-09,-2.689545660000000191e-09,-2.748171080000000295e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.784659940000000330e-09,-2.923930180000000237e-09,-2.725530260000000534e-09,-2.665951859999999891e-09,-2.702805180000000135e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.680470720000000259e-09,-2.863025520000000089e-09,-2.962056100000000003e-09,-2.937183200000000590e-09,-2.684209820000000210e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.651986760000000518e-09,-3.035038520000000330e-09,-2.972086660000000239e-09,-2.612445940000000536e-09,-2.766156580000000367e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.828944500000000146e-09,-2.472025700000000070e-09,-2.770430420000000130e-09,-2.587810339999999840e-09,-2.681198080000000345e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.516227340000000254e-09,-2.538338260000000257e-09,-2.389027219999999993e-09,-2.398022340000000040e-09,-2.457266540000000029e-09
