# resistance (ohms),current (A),time (s),res min,res_max
5.857372590826777369e+07,-1.707250109999999945e-09,1.000000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.859653093184591830e+07,-1.706585670000000147e-09,1.004999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.858778628973034769e+07,-1.706840390000000157e-09,1.010000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.854856228823753446e+07,-1.707983870000000210e-09,1.014999999999999902e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.854329334207790345e+07,-1.708137590000000077e-09,1.020000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.852975651357906312e+07,-1.708532650000000114e-09,1.024999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.846068184166441113e+07,-1.710551380000000204e-09,1.030000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.840048386436095834e+07,-1.712314579999999986e-09,1.034999999999999920e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.838287538720544428e+07,-1.712831020000000169e-09,1.040000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.834660563020471483e+07,-1.713895760000000185e-09,1.044999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.830063818968496472e+07,-1.715247090000000113e-09,1.050000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.828783472386540473e+07,-1.715623860000000151e-09,1.054999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.825969754221678525e+07,-1.716452440000000119e-09,1.060000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.820139552279712260e+07,-1.718171860000000089e-09,1.064999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.817579700798269361e+07,-1.718927890000000091e-09,1.070000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.816955274030044675e+07,-1.719112410000000056e-09,1.074999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.813431124546337873e+07,-1.720154550000000106e-09,1.080000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.812201920497982204e+07,-1.720518340000000019e-09,1.084999999999999964e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.815769631502600014e+07,-1.719462880000000190e-09,1.090000000000000080e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.817466155610797554e+07,-1.718961440000000032e-09,1.094999999999999973e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.818998560123720020e+07,-1.718508760000000156e-09,1.100000000000000089e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.822588319144869596e+07,-1.717449260000000115e-09,1.104999999999999982e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.822761362824750692e+07,-1.717398220000000016e-09,1.110000000000000098e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.818371797541979700e+07,-1.718693880000000107e-09,1.114999999999999991e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.816349892159637809e+07,-1.719291340000000143e-09,1.120000000000000107e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.817210145244742930e+07,-1.719037090000000159e-09,1.125000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.817829380424675345e+07,-1.718854120000000067e-09,1.129999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.822046708732079715e+07,-1.717609030000000049e-09,1.135000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.829007850053109974e+07,-1.715557820000000027e-09,1.140000000000000124e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.830841945763851702e+07,-1.715018190000000145e-09,1.145000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.830389763887871802e+07,-1.715151200000000193e-09,1.149999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.833111427191864699e+07,-1.714350929999999986e-09,1.155000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.833134088055720925e+07,-1.714344270000000096e-09,1.159999999999999920e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.829574952923412621e+07,-1.715390930000000222e-09,1.165000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.828727720409593731e+07,-1.715640270000000047e-09,1.169999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.829446768304819614e+07,-1.715428650000000128e-09,1.175000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.827269408801724017e+07,-1.716069620000000220e-09,1.179999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.825970908247308433e+07,-1.716452100000000052e-09,1.185000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.827231037566690147e+07,-1.716080920000000100e-09,1.189999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.826989955527947098e+07,-1.716151919999999985e-09,1.195000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.827612395382848382e+07,-1.715968620000000077e-09,1.199999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.833260359246239811e+07,-1.714307160000000012e-09,1.205000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.837030391642791033e+07,-1.713199920000000304e-09,1.209999999999999964e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.836965112482870370e+07,-1.713219080000000042e-09,1.215000000000000080e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.839130699650654197e+07,-1.712583690000000199e-09,1.219999999999999973e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.840786503021768481e+07,-1.712098190000000118e-09,1.225000000000000089e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.838199531024438143e+07,-1.712856840000000003e-09,1.229999999999999982e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.839027733215453476e+07,-1.712613890000000106e-09,1.235000000000000098e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.844050176897937804e+07,-1.711142050000000185e-09,1.239999999999999991e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.847070103628266603e+07,-1.710258269999999993e-09,1.245000000000000107e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.848164400088717043e+07,-1.709938250000000053e-09,1.250000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.851830995492715389e+07,-1.708866849999999941e-09,1.254999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.852782823234240711e+07,-1.708588940000000232e-09,1.260000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.850225532922053337e+07,-1.709335810000000167e-09,1.265000000000000124e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.850517145639631897e+07,-1.709250610000000098e-09,1.270000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.852816701691385359e+07,-1.708579050000000015e-09,1.274999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.853239650203608721e+07,-1.708455590000000116e-09,1.280000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.856260578858914971e+07,-1.707574290000000011e-09,1.285000000000000142e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.862296301324843615e+07,-1.705816200000000039e-09,1.290000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.865404303403732926e+07,-1.704912310000000218e-09,1.294999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.866258997646051645e+07,-1.704663910000000238e-09,1.300000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.868966794571407884e+07,-1.703877419999999998e-09,1.304999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.869348743050207198e+07,-1.703766540000000097e-09,1.310000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.866668850631923974e+07,-1.704544820000000161e-09,1.314999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.867539888034900278e+07,-1.704291779999999983e-09,1.320000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.868814380416911840e+07,-1.703921670000000042e-09,1.324999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.866695008279138803e+07,-1.704537220000000013e-09,1.330000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.866649645560494810e+07,-1.704550400000000202e-09,1.334999999999999964e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.868854920087030530e+07,-1.703909900000000136e-09,1.340000000000000080e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.866734348443035781e+07,-1.704525789999999967e-09,1.344999999999999973e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.863807339731165767e+07,-1.705376630000000041e-09,1.350000000000000089e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.865817753007707000e+07,-1.704792140000000086e-09,1.354999999999999982e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.867878610491038859e+07,-1.704193400000000138e-09,1.359999999999999876e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.868709916711268574e+07,-1.703952000000000115e-09,1.364999999999999991e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.874182161114435643e+07,-1.702364640000000303e-09,1.370000000000000107e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.881032303481262177e+07,-1.700381750000000222e-09,1.375000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.886183426978489757e+07,-1.698893709999999893e-09,1.379999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.894009628029759228e+07,-1.696637880000000116e-09,1.385000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.903734810088834912e+07,-1.693843020000000234e-09,1.390000000000000124e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.907041769726085663e+07,-1.692894750000000204e-09,1.395000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.907471440240710229e+07,-1.692771620000000121e-09,1.399999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
