# resistance (ohms),time (s),res min,res_max
1.127926866449163854e+07,0.000000000000000000e+00,1.020000000000000000e+07,1.040000000000000000e+07
1.324408564297516830e+07,6.104439139366149902e+02,1.020000000000000000e+07,1.040000000000000000e+07
1.493289204606463946e+07,1.210493474245071411e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.475829539728259854e+07,1.810543034315109253e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.530332895120468549e+07,2.410586088895797729e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.545670581724020466e+07,3.010635648727416992e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.666469603858561069e+07,3.610685209274291992e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.499461796677856706e+07,4.210734769105911255e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.309062640002203733e+07,4.810784329414367676e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.512810502786155976e+07,5.410833889484405518e+03,1.020000000000000000e+07,1.040000000000000000e+07
1.411310315100135095e+07,6.010879904747009277e+03,1.020000000000000000e+07,1.040000000000000000e+07
