# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
1.028285312472651750e+08,-9.724927390000000822e-10,1.000000000000000000e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.029656985693713129e+08,-9.711972180000000525e-10,1.004999999999999893e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.031354166029483229e+08,-9.695990310000000073e-10,1.010000000000000009e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.032404031259818822e+08,-9.686130330000001190e-10,1.014999999999999902e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.033991575541230291e+08,-9.671258680000000694e-10,1.020000000000000018e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.036918771151380241e+08,-9.643956959999999961e-10,1.024999999999999911e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.039497190551982671e+08,-9.620035620000000138e-10,1.030000000000000027e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.041610090963569731e+08,-9.600521430000000634e-10,1.034999999999999920e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.044048516537825018e+08,-9.578098950000000742e-10,1.040000000000000036e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.045782480879117250e+08,-9.562217939999999189e-10,1.044999999999999929e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.045928334350237101e+08,-9.560884500000000786e-10,1.050000000000000044e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.046294287885971069e+08,-9.557540470000001537e-10,1.054999999999999938e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.047001165963532329e+08,-9.551087740000001046e-10,1.060000000000000053e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
1.046628456348004788e+08,-9.554488930000000980e-10,1.064999999999999947e+00,9.000000000000000000e+07,4.770000000000000000e+08,9.000000000000000000e+00,2.000000000000000111e-01
