# resistance (ohms),time (s),res min,res_max
3.453236138088558614e+07,0.000000000000000000e+00,3.190000000000000000e+07,3.990000000000000000e+07
3.862221512079843879e+07,3.958920454978942871e+01,3.190000000000000000e+07,3.990000000000000000e+07
4.285020393997512758e+07,6.963579249382019043e+01,3.190000000000000000e+07,3.990000000000000000e+07
5.197987605336178839e+07,9.968580317497253418e+01,3.190000000000000000e+07,3.990000000000000000e+07
4.945706198092788458e+07,1.297419657707214355e+02,3.190000000000000000e+07,3.990000000000000000e+07
4.750909144663468748e+07,1.597931067943572998e+02,3.190000000000000000e+07,3.990000000000000000e+07
4.424911870634303242e+07,1.898442564010620117e+02,3.190000000000000000e+07,3.990000000000000000e+07
4.608365033239515871e+07,2.198903138637542725e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.964097816190801561e+07,2.499343552589416504e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.899605225024887174e+07,2.799824466705322266e+02,3.190000000000000000e+07,3.990000000000000000e+07
4.185901319260054082e+07,3.100248064994812012e+02,3.190000000000000000e+07,3.990000000000000000e+07
