# resistance (ohms),time (s),res min,res_max
2.052742330068127066e+07,0.000000000000000000e+00,1.780000000000000000e+07,2.000000000000000000e+07
1.997092492952285707e+07,3.954075622558593750e+01,1.780000000000000000e+07,2.000000000000000000e+07
1.912149869105692953e+07,6.958601784706115723e+01,1.780000000000000000e+07,2.000000000000000000e+07
1.772144202244610339e+07,9.963410091400146484e+01,1.780000000000000000e+07,2.000000000000000000e+07
1.740296584824578837e+07,1.296785748004913330e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.806491975761357695e+07,1.597265024185180664e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.677597993049258552e+07,1.897709243297576904e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.914693822794685140e+07,2.198164248466491699e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.753704942826149985e+07,2.498589453697204590e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.728388679493159801e+07,2.799025163650512695e+02,1.780000000000000000e+07,2.000000000000000000e+07
1.866284242629940808e+07,3.099487283229827881e+02,1.780000000000000000e+07,2.000000000000000000e+07
