# resistance (ohms),time (s),res min,res_max
8.145140871636775322e+06,0.000000000000000000e+00,8.080000000000000000e+06,8.160000000000000000e+06
7.595290822470345534e+06,4.033655858039855957e+01,8.080000000000000000e+06,8.160000000000000000e+06
8.331556837126737460e+06,7.038254284858703613e+01,8.080000000000000000e+06,8.160000000000000000e+06
9.272740708085583523e+06,1.004261720180511475e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.261066796546336263e+06,1.304810457229614258e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.303127381164526567e+06,1.605253593921661377e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.194930165608784184e+06,1.905736007690429688e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.405880475582761690e+06,2.206189911365509033e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.280498883982887492e+06,2.506678452491760254e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.229575662044614553e+06,2.807135295867919922e+02,8.080000000000000000e+06,8.160000000000000000e+06
9.241194691669249907e+06,3.107601847648620605e+02,8.080000000000000000e+06,8.160000000000000000e+06
