# resistance (ohms),time (s),res min,res_max
2.415930560106212273e+07,0.000000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07
2.404539947433077917e+07,6.096395533084869385e+02,2.380000000000000000e+07,2.500000000000000000e+07
2.410671980250560120e+07,1.209689113616943359e+03,2.380000000000000000e+07,2.500000000000000000e+07
2.494729743089175969e+07,1.809738673448562622e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.232930328308212757e+07,2.409788233757019043e+03,2.380000000000000000e+07,2.500000000000000000e+07
2.371969270227267593e+07,3.009837793588638306e+03,2.380000000000000000e+07,2.500000000000000000e+07
2.737524397775566578e+07,3.609880532979965210e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.211273579235869646e+07,4.209930093288421631e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.317728909654753655e+07,4.809979653358459473e+03,2.380000000000000000e+07,2.500000000000000000e+07
2.711502186853628606e+07,5.410029213666915894e+03,2.380000000000000000e+07,2.500000000000000000e+07
3.574319794030965865e+07,6.010078773736953735e+03,2.380000000000000000e+07,2.500000000000000000e+07
