# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
3.498410252413098216e+08,-2.858441200000000181e-10,3.000000000000000000e+01,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.592682350615658760e+08,-2.177376799999999944e-10,6.001833333333333087e+01,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.300630555871723890e+08,-2.325240420000000089e-10,9.003666666666666174e+01,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.603512962838804722e+08,-2.172254119999999969e-10,1.200550000000000068e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.438492288199541569e+08,-2.253017320000000305e-10,1.500733333333333235e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.919454848052896857e+08,-2.032745560000000059e-10,1.800916666666666686e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.916419637064986229e+08,-2.034000500000000063e-10,2.101100000000000136e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.848573803652232885e+08,-2.062462159999999985e-10,2.401283333333333303e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.477028095742033720e+08,-2.233624580000000019e-10,2.701466666666666470e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
4.339247394856889248e+08,-2.304547100000000335e-10,3.001650000000000205e+02,5.000000000000000000e+08,1.000000000000000000e+10,7.000000000000000000e+00,1.000000000000000000e+00
