# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
6.864288149637088776e+08,-1.456815299999999991e-10,3.000000000000000000e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
5.709480810988813639e+08,-1.751472740000000265e-10,6.001833333333333087e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
5.116563424564610124e+08,-1.954436829999999863e-10,9.003666666666666174e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.615585727106096745e+08,-2.166572260000000188e-10,1.200550000000000068e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
5.422792431497536898e+08,-1.844068370000000155e-10,1.500733333333333235e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
5.489977590240875483e+08,-1.821501060000000086e-10,1.800916666666666686e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.556854718886446953e+08,-2.194496120000000367e-10,2.101100000000000136e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.277483942196956873e+08,-2.337822919999999978e-10,2.401283333333333303e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.418085537414224148e+08,-2.263423809999999888e-10,2.701466666666666470e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.432697205822720528e+08,-2.255962799999999997e-10,3.001650000000000205e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
