# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.510365050000001160e-09,-8.822502850000000169e-09,-8.559832250000000512e-09,-8.426265800000000832e-09,-8.586634800000000446e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.987375750000000484e-09,-7.948645549999999252e-09,-8.173485549999999894e-09,-8.071381149999999847e-09,-8.091335050000001213e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.003448650000000506e-09,-7.994000200000000376e-09,-8.137294149999998976e-09,-7.930369850000000144e-09,-7.996541799999999928e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.151750000000000517e-09,-7.918405349999999508e-09,-8.161893350000000477e-09,-8.012175700000000630e-09,-8.024139650000000264e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.815678949999999708e-09,-7.979011600000000236e-09,-8.148179400000000513e-09,-8.259851849999999110e-09,-8.226701349999999742e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.102055899999999974e-09,-8.473031950000000261e-09,-8.393971750000000679e-09,-8.277542850000000430e-09,-8.412941350000000952e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.441956349999999885e-09,-7.361241499999999762e-09,-7.001476450000000627e-09,-7.025325050000000258e-09,-7.420044350000000509e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.770894250000000087e-09,-7.422254550000000299e-09,-8.035369950000000123e-09,-7.126833449999999742e-09,-7.126360699999999590e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.314520249999999921e-09,-3.346598430000000247e-09,-3.275508655000000309e-09,-3.012034015000000194e-09,-2.858713715000000466e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.995777800000000300e-09,-2.230996039999999988e-09,-2.176068980000000330e-09,-2.346898300000000111e-09,-2.417564399999999825e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.658592580000000200e-09,-2.537032820000000026e-09,-2.959254399999999843e-09,-2.928363560000000564e-09,-2.997777520000000080e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.908630300000000877e-10,-6.008530350000000248e-10,-8.193134350000000369e-10,-8.326833350000000323e-10,-9.064898449999999708e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.085263000000000268e-10,-5.573581349999999913e-10,-5.798072200000000098e-10,-5.960508749999999939e-10,-4.779711340000000003e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.306566050000000797e-10,-8.656394150000000006e-10,-8.633860300000000512e-10,-8.763351700000000891e-10,-8.046161800000001045e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.693660620000000179e-10,-5.747054800000000001e-10,-5.166826599999999777e-10,-4.650618290000000359e-10,-5.842258299999999919e-10
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.702050320000000341e-10,-3.326135680000000457e-10,-2.972801020000000006e-10,-3.206243060000000173e-10,-3.526995579999999977e-10
-6.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.883514560000000216e-10,-3.148708900000000039e-10,-3.084131600000000385e-10,-3.214541200000000120e-10,-3.413515839999999993e-10
-6.400000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.604561580000000162e-10,-1.846085127999999908e-10,-1.632392420000000115e-10,-1.400485872000000088e-10,-1.504405599999999868e-10
