# resistance (ohms),time (s),res min,res_max
1.240055006856016256e+07,0.000000000000000000e+00,1.220000000000000000e+07,1.250000000000000000e+07
1.148476012528035790e+07,3.964219856262207031e+01,1.220000000000000000e+07,1.250000000000000000e+07
1.253637169685175270e+07,6.969217634201049805e+01,1.220000000000000000e+07,1.250000000000000000e+07
1.265079878661634773e+07,9.974215412139892578e+01,1.220000000000000000e+07,1.250000000000000000e+07
1.279362234855455346e+07,1.297921326160430908e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.372014068632259779e+07,1.598421103954315186e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.389881418653075956e+07,1.898920884132385254e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.373886883716247417e+07,2.199420661926269531e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.650881815219836123e+07,2.499920444488525391e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.526235558081882447e+07,2.800420224666595459e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.413419640694169141e+07,3.100920007228851318e+02,1.220000000000000000e+07,1.250000000000000000e+07
