# resistance (ohms),time (s),res min,res_max
1.887279317480533198e+07,0.000000000000000000e+00,1.610000000000000000e+07,1.670000000000000000e+07
1.600358032098941132e+07,6.096495530605316162e+02,1.610000000000000000e+07,1.670000000000000000e+07
1.813043849698374793e+07,1.209699113130569458e+03,1.610000000000000000e+07,1.670000000000000000e+07
1.570953447779386863e+07,1.809748673915863037e+03,1.610000000000000000e+07,1.670000000000000000e+07
1.639728415717852861e+07,2.409798233509063721e+03,1.610000000000000000e+07,1.670000000000000000e+07
1.973208368731869757e+07,3.009847793817520142e+03,1.610000000000000000e+07,1.670000000000000000e+07
2.825528283548713848e+07,3.609888132333755493e+03,1.610000000000000000e+07,1.670000000000000000e+07
2.534132657227416337e+07,4.209937692642211914e+03,1.610000000000000000e+07,1.670000000000000000e+07
1.951994825495957211e+07,4.809987252712249756e+03,1.610000000000000000e+07,1.670000000000000000e+07
2.628390433100393042e+07,5.410036813020706177e+03,1.610000000000000000e+07,1.670000000000000000e+07
2.421897795261549205e+07,6.010086373090744019e+03,1.610000000000000000e+07,1.670000000000000000e+07
